"filename", "language", "Python", "C", "comment", "blank", "total"
"c:\development\cs61a\week3\lab02\lab02\lab02.py", "Python", -113, 0, 0, -15, -128
"c:\development\cs61a\week3\lab02\lab02\tests\__init__.py", "Python", 0, 0, 0, -1, -1
"c:\development\cs61a\week3\lab02\lab02\tests\hof-wwpd.py", "Python", -52, 0, 0, -1, -53
"c:\development\cs61a\week3\lab02\lab02\tests\lambda.py", "Python", -110, 0, 0, -1, -111
"c:\development\cs61a\week3\lab02\lab02\tests\short-circuit.py", "Python", -86, 0, 0, -1, -87
"c:\development\cs61a\week6\hw04\hw04\construct_check.py", "Python", 166, 0, 1, 13, 180
"c:\development\cs61a\week6\hw04\hw04\hw04.py", "Python", 228, 0, 1, 46, 275
"c:\development\cs61a\week6\hw04\hw04\tests\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\development\cs61a\week6\lab04\lab04\construct_check.py", "Python", 166, 0, 1, 13, 180
"c:\development\cs61a\week6\lab04\lab04\lab04.py", "Python", 148, 0, 3, 24, 175
"c:\development\cs61a\week6\lab04\lab04\test.c", "C", 0, 23, 4, 8, 35
"c:\development\cs61a\week6\lab04\lab04\tests\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\development\cs61a\week6\lab04\lab04\tests\pokemon.py", "Python", 36, 0, 0, 1, 37
"Total", "-", 383, 23, 10, 88, 504
